n,avl,splay,treap,rb
0,8,13,16,12
50000,20,20,24,17
100000,12,11,14,8
150000,16,21,23,15
200000,15,14,17,10
250000,15,16,19,12
300000,19,20,27,17
350000,23,28,36,22
400000,26,29,36,20
450000,23,26,35,24
500000,21,19,23,15
550000,20,20,24,14
600000,26,31,40,19
650000,21,20,25,14
700000,22,21,26,15
750000,23,21,26,16
800000,23,20,26,16
850000,32,33,42,17
900000,23,22,27,15
950000,30,34,42,18
1000000,32,35,42,17
1050000,24,22,28,17
1100000,25,22,28,17
1150000,30,34,42,18
1200000,28,33,42,18
1250000,31,35,43,18
1300000,35,36,44,18
1350000,30,34,42,18
1400000,33,35,42,19
1450000,35,36,48,28
1500000,27,23,30,17
1550000,30,37,60,29
1600000,29,24,31,18
1650000,36,37,43,18
1700000,27,23,31,18
1750000,32,32,41,19
1800000,35,38,49,31
1850000,27,25,31,19
1900000,32,31,41,20
1950000,38,38,42,19
2000000,35,37,43,19
2050000,37,36,42,19
2100000,28,25,33,20
2150000,28,27,32,19
2200000,35,33,41,19
2250000,38,39,43,19
2300000,34,33,42,19
2350000,35,40,56,30
2400000,38,37,44,19
2450000,39,40,48,19
2500000,30,26,32,19
2550000,43,40,40,19
2600000,44,41,54,30
2650000,37,40,43,20
2700000,30,26,33,29
2750000,40,40,45,20
2800000,40,40,43,20
2850000,37,39,53,32
2900000,40,40,43,20
2950000,40,41,54,30
3000000,37,41,43,19
3050000,35,34,42,21
3100000,29,27,34,20
3150000,42,39,42,20
3200000,40,42,41,21
3250000,30,28,34,21
3300000,39,41,42,20
3350000,39,42,44,21
3400000,37,42,43,21
3450000,34,30,40,20
3500000,30,27,36,21
3550000,31,27,34,21
3600000,42,42,53,32
3650000,41,43,44,20
3700000,42,43,43,20
3750000,31,29,35,20
3800000,43,43,52,21
3850000,31,28,35,20
3900000,30,28,35,21
3950000,31,27,35,21
4000000,31,28,34,21
4050000,41,43,55,24
4100000,51,45,52,21
4150000,42,42,43,20
4200000,37,36,42,20
4250000,44,45,52,21
4300000,39,45,42,21
4350000,31,28,36,20
4400000,43,43,53,32
4450000,43,44,41,21
4500000,34,36,41,25
4550000,41,41,43,22
4600000,33,30,40,23
4650000,32,33,40,25
4700000,32,29,46,33
4750000,38,36,44,24
4800000,40,37,68,31
4850000,42,44,43,22
4900000,37,38,42,21
4950000,44,45,44,22
